"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.688579499722,0.688579499721527,0,95
"2","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.590536296368,0.590536296367645,0,26
"3","Navon Task CO2015",50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_F.png","Cc","down_right",1,0,0,0,"'j'",0.322610229254,0.322610229253769,0,41
"4","Navon Task CO2015",-50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",1.42237269878,1.42237269878387,0,92
"5","Navon Task CO2015",50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.599267840385,0.599267840385437,0,96
"6","Navon Task CO2015",-50,16105,19,"congruent",50,"selAttGlob","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.524155914783,0.524155914783478,0,87
"7","Navon Task CO2015",50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.769516527653,0.76951652765274,0,74
"8","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.505262970924,0.505262970924377,0,97
"9","Navon Task CO2015",-50,16105,19,"congruent",50,"selAttGlob","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.381760120392,0.381760120391846,0,38
"10","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.558013021946,0.558013021945953,0,43
"11","Navon Task CO2015",-50,16105,19,"congruent",50,"selAttGlob","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.679758548737,0.679758548736572,0,12
"12","Navon Task CO2015",50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.61733174324,0.617331743240356,0,30
"13","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.497752726078,0.497752726078033,0,24
"14","Navon Task CO2015",-50,16105,19,"congruent",50,"selAttGlob","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.879267513752,0.879267513751984,0,83
"15","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.625060200691,0.625060200691223,0,78
"16","Navon Task CO2015",-50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.87140506506,0.871405065059662,0,72
"17","Navon Task CO2015",50,16105,19,"congruent",50,"selAttGlob","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.869592785835,0.869592785835266,0,89
"18","Navon Task CO2015",50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_H_local_F.png","Cc","down_right",1,0,0,0,"'j'",0.442830860615,0.442830860614777,0,46
"19","Navon Task CO2015",-50,16105,19,"congruent",-50,"selAttGlob","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.72607833147,0.72607833147049,0,85
