"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.541710197926,0.541710197925568,0,63
"2","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.581451892853,0.581451892852783,0,57
"3","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",1.95112156868,1.95112156867981,0,66
"4","Navon Task CO2015",-50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.565824329853,0.565824329853058,0,50
"5","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.600766897202,0.600766897201538,0,27
"6","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.682665348053,0.682665348052979,0,39
"7","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.568189442158,0.568189442157745,0,58
"8","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",1.54674041271,1.5467404127121,0,69
"9","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.645031273365,0.645031273365021,0,62
"10","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.556529343128,0.556529343128204,0,88
"11","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.907010495663,0.907010495662689,0,48
"12","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.619369387627,0.619369387626648,0,24
"13","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.556115806103,0.556115806102753,0,13
"14","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.687031447887,0.687031447887421,0,33
"15","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.580265045166,0.580265045166016,0,97
"16","Navon Task CO2015",-50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.570371806622,0.570371806621552,0,18
"17","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",1.18282830715,1.18282830715179,0,0
"18","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.666269361973,0.666269361972809,0,60
"19","Navon Task CO2015",-50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.565604805946,0.56560480594635,0,31
"20","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.670079946518,0.670079946517944,0,56
"21","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_T_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.872280478477,0.872280478477478,0,85
"22","Navon Task CO2015",50,16276,24,"congruent",-50,"selAttLoc","['f']","Global_T_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.629301667213,0.62930166721344,0,54
"23","Navon Task CO2015",50,16276,24,"congruent",50,"selAttLoc","['f']","Global_T_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.935844898224,0.935844898223877,0,87
"24","Navon Task CO2015",-50,16276,24,"congruent",50,"selAttLoc","['f']","Global_T_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.678657829762,0.678657829761505,0,92
