"","Subject","age"
"15331","15331",20
"15343","15343",41
"15352","15352",18
"15361","15361",18
"15364","15364",18
"15388","15388",19
"15391","15391",18
"15409","15409",18
"15412","15412",20
"15427","15427",18
"15430","15430",18
"15433","15433",18
"15436","15436",18
"15439","15439",18
"15442","15442",18
"15454","15454",18
"15457","15457",18
"15466","15466",18
"15469","15469",25
"15487","15487",19
"15490","15490",18
"15523","15523",18
"15526","15526",19
"15529","15529",18
"15532","15532",19
"15538","15538",19
"15550","15550",24
"15553","15553",18
"15556","15556",18
"15574","15574",18
"15577","15577",18
"15586","15586",19
"15589","15589",19
"15595","15595",NA
"15598","15598",18
"15631","15631",18
"15634","15634",19
"15655","15655",21
"15661","15661",18
"15667","15667",18
"15679","15679",19
"15682","15682",19
"15691","15691",18
"15712","15712",19
"15718","15718",18
"15727","15727",19
"15730","15730",18
"15739","15739",18
"15745","15745",19
"15748","15748",19
"15751","15751",20
"15754","15754",19
"15760","15760",18
"15763","15763",18
"15784","15784",18
"15799","15799",17
"15805","15805",19
"15808","15808",19
"15811","15811",19
"15820","15820",19
"15823","15823",19
"15826","15826",18
"15838","15838",18
"15877","15877",18
"15889","15889",21
"15898","15898",NA
"15904","15904",18
"15919","15919",18
"15943","15943",NA
"15946","15946",19
"15949","15949",19
"15964","15964",21
"15973","15973",18
"15985","15985",18
"15991","15991",18
"16039","16039",19
"16051","16051",19
"16057","16057",28
"16090","16090",20
"16105","16105",19
"16108","16108",18
"16111","16111",19
"16114","16114",19
"16117","16117",18
"16120","16120",18
"16138","16138",18
"16141","16141",18
"16150","16150",19
"16153","16153",20
"16159","16159",20
"16165","16165",18
"16177","16177",18
"16186","16186",18
"16192","16192",18
"16219","16219",19
"16237","16237",19
"16249","16249",18
"16276","16276",24
"16279","16279",18
"16282","16282",18
"16297","16297",18
"16357","16357",18
"16444","16444",18
"16468","16468",19
"16513","16513",18
"16516","16516",18
"16519","16519",23
"16654","16654",18
"16705","16705",19
"16714","16714",18
"16735","16735",20
"16738","16738",18
"16816","16816",19
"16834","16834",19
"16852","16852",18
"16870","16870",18
"16882","16882",21
"16888","16888",20
"16891","16891",18
"16921","16921",18
"16924","16924",18
"17041","17041",19
"17116","17116",21
"46546","46546",40
